ID,ability,ability_description
1,overgrow,powers up grass-type moves when the pokémon's hp is low.
2,null,null
3,chlorophyll,boosts the pokémon's speed stat in harsh sunlight. 
4,thick fat,the pokémon is protected by a layer of thick fat which halves the damage taken from fire- and ice-type moves. 
5,blaze,powers up fire-type moves when the pokémon's hp is low. 
6,solar power,boosts the sp. atk stat in harsh sunlight but hp decreases every turn.
7,tough claws,powers up moves that make direct contact. 
8,drought,turns the sunlight harsh when the pokémon enters a battle.
9,torrent,powers up water-type moves when the pokémon's hp is low. 
10,rain dish,the pokémon gradually regains hp in rain. 
11,mega launcher,powers up aura and pulse moves. 
12,rattled,dark- ghost- and bug-type moves scare the pokémon and boost its speed stat.
13,static,the pokémon is charged with static electricity so contact with it may cause paralysis.
14,klutz,the pokémon can't use any held items.
15,punk rock,boosts the power of sound-based moves. the pokémon also takes half the damage from these kinds of moves.
16,plus,boosts the sp. atk stat of the pokémon if an ally with the plus or minus ability is also in battle.
17,technician,powers up the pokémon's weaker moves.
18,minus,boosts the sp. atk stat of the pokémon if an ally with the plus or minus ability is also in battle.
19,poison point,contact with the pokémon may poison the attacker.
20,rivalry,becomes competitive and deals more damage to pokémon of the same gender but deals less to pokémon of the opposite gender.
21,hustle,boosts the attack stat but lowers accuracy.
22,sheer force,removes additional effects to increase the power of moves when attacking.
23,iron fist,powers up punching moves.
24,intimidate,the pokémon intimidates opposing pokémon upon entering battle lowering their attack stat.
25,guts,it's so gutsy that having a status condition boosts the pokémon's attack stat.
26,shed skin,the pokémon may heal its own status conditions by shedding its skin.
27,compound eyes,the pokémon's compound eyes boost its accuracy.
28,tinted lens,the pokémon can use not very effective moves to deal regular damage.
29,no guard,the pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.
30,swarm,powers up bug-type moves when the pokémon's hp is low.
31,sniper,powers up moves if they become critical hits when attacking.
32,adaptability,powers up moves of the same type as the pokémon.
33,limber,its limber body protects the pokémon from paralysis.
34,imposter,the pokémon transforms itself into the pokémon it's facing.
35,shield dust,this pokémon's dust blocks the additional effects of attacks taken.
36,run away,enables a sure getaway from wild pokémon.
37,hydration,heals status conditions if it's raining.
38,inner focus,the pokémon's intensely focused and that protects the pokémon from flinching.
39,unseen fist,the pokémon can deal damage with moves that make physical contact even if the target is protected.
40,unnerve,unnerves opposing pokémon and makes them unable to eat berries.
41,synchronize,the attacker will receive the same status condition if it inflicts a burn poison or paralysis to the pokémon.
42,pressure,by putting pressure on the opposing pokémon it raises their pp usage.
43,steadfast,the pokémon's determination boosts the speed stat each time the pokémon flinches.
44,insomnia,the pokémon is suffering from insomnia and cannot fall asleep.
45,magnet pull,prevents steel-type pokémon from escaping using its magnetic force.
46,sturdy,it cannot be knocked out with one hit. one-hit ko moves cannot knock it out either.
47,analytic,boosts move power when the pokémon moves last.
48,soundproof,soundproofing gives the pokémon full immunity to all sound-based moves.
49,aftermath,damages the attacker if it contacts the pokémon with a finishing hit.
50,cute charm,contact with the pokémon may cause infatuation.
51,magic bounce,reflects status moves instead of getting hit by them.
52,friend guard,reduces damage done to allies.
53,magic guard,the pokémon only takes damage from attacks.
54,unaware,when attacking the pokémon ignores the target pokémon's stat changes.
55,flash fire,powers up the pokémon's fire-type moves if it's hit by one.
56,snow cloak,boosts evasiveness in a hailstorm.
57,snow warning,the pokémon summons a hailstorm when it enters a battle.
58,competitive,boosts the sp. atk stat sharply when a stat is lowered.
59,frisk,when it enters a battle the pokémon can check an opposing pokémon's held item.
60,infiltrator,passes through the opposing pokémon's barrier substitute and the like and strikes.
61,stench,by releasing stench when attacking this pokémon may cause the target to flinch.
62,effect spore,contact with the pokémon may inflict poison sleep or paralysis on its attacker.
63,healer,sometimes heals an ally's status condition.
64,dry skin,restores hp in rain or when hit by water-type moves. reduces hp in harsh sunlight and increases the damage received from fire-type moves.
65,damp,prevents the use of explosive moves such as self-destruct by dampening its surroundings.
66,wonder skin,makes status moves more likely to miss.
67,sand veil,boosts the pokémon's evasiveness in a sandstorm.
68,arena trap,prevents opposing pokémon from fleeing.
69,sand force,boosts the power of rock- ground- and steel-type moves in a sandstorm.
70,tangling hair,contact with the pokémon lowers the attacker's speed stat.
71,keen eye,keen eyes prevent other pokémon from lowering this pokémon's accuracy.
72,tangled feet,raises evasiveness if the pokémon is confused.
73,big pecks,protects the pokémon from defense-lowering effects.
74,gluttony,makes the pokémon eat a held berry when its hp drops to half or less which is sooner than usual.
75,lightning rod,the pokémon draws in all electric-type moves. instead of being hit by electric-type moves it boosts its sp. atk.
76,surge surfer,doubles the pokémon's speed stat on electric terrain.
77,sand rush,boosts the pokémon's speed stat in a sandstorm.
78,slush rush,boosts the pokémon's speed stat in a hailstorm.
79,pickup,the pokémon may pick up the item an opposing pokémon used during a battle. it may pick up items outside of battle too.
80,battle armor,hard armor protects the pokémon from critical hits.
81,steely spirit,powers up ally pokémon's steel-type moves.
82,fur coat,halves the damage from physical moves.
83,cloud nine,eliminates the effects of weather.
84,swift swim,boosts the pokémon's speed stat in rain.
85,harvest,may create another berry after one is used.
86,rock head,protects the pokémon from recoil damage.
87,reckless,powers up moves that have recoil damage.
88,unburden,boosts the speed stat if the pokémon's held item is used or lost.
89,own tempo,this pokémon has its own tempo and that prevents it from becoming confused.
90,oblivious,the pokémon is oblivious and that keeps it from being infatuated or falling for taunts.
91,levitate,by floating in the air the pokémon receives full immunity to all ground-type moves.
92,natural cure,all status conditions heal when the pokémon switches out.
93,serene grace,boosts the likelihood of additional effects occurring when attacking.
94,leaf guard,prevents status conditions in harsh sunlight.
95,regenerator,restores a little hp when withdrawn from battle.
96,early bird,the pokémon awakens from sleep twice as fast as other pokémon.
97,scrappy,the pokémon can hit ghost-type pokémon with normal- and fighting-type moves.
98,water veil,the pokémon is covered with a water veil which prevents the pokémon from getting a burn.
99,illuminate,raises the likelihood of meeting wild pokémon by illuminating the surroundings.
100,filter,reduces the power of supereffective attacks taken.
101,forewarn,when it enters a battle the pokémon can tell one of the moves an opposing pokémon has.
102,vital spirit,the pokémon is full of vitality and that prevents it from falling asleep.
103,flame body,contact with the pokémon may burn the attacker.
104,hyper cutter,the pokémon's proud of its powerful pincers. they prevent other pokémon from lowering its attack stat.
105,mold breaker,moves can be used on the target regardless of its abilities.
106,moxie,the pokémon shows moxie and that boosts the attack stat after knocking out any pokémon.
107,anger point,the pokémon is angered when it takes a critical hit and that maxes its attack stat.
108,water absorb,restores hp if hit by a water-type move instead of taking damage.
109,shell armor,a hard shell protects the pokémon from critical hits.
110,anticipation,the pokémon can sense an opposing pokémon's dangerous moves.
111,volt absorb,restores hp if hit by an electric-type move instead of taking damage.
112,quick feet,boosts the speed stat if the pokémon has a status condition.
113,trace,when it enters a battle the pokémon copies an opposing pokémon's ability.
114,download,compares an opposing pokémon's defense and sp. def stats before raising its own attack or sp. atk stat—whichever will be more effective.
115,weak armor,physical attacks to the pokémon lower its defense stat but sharply raise its speed stat.
116,immunity,the immune system of the pokémon prevents it from getting poisoned.
117,marvel scale,the pokémon's marvelous scales boost the defense stat if it has a status condition.
118,multiscale,reduces the amount of damage the pokémon takes while its hp is full.
119,super luck,the pokémon is so lucky that the critical-hit ratios of its moves are boosted.
120,huge power,doubles the pokémon's attack stat.
121,sap sipper,boosts the attack stat if hit by a grass-type move instead of taking damage.
122,drizzle,the pokémon makes it rain when it enters a battle.
123,skill link,maximizes the number of times multistrike moves hit.
124,speed boost,its speed stat is boosted every turn.
125,prankster,gives priority to a status move.
126,shadow tag,this pokémon steps on the opposing pokémon's shadow to prevent it from escaping.
127,telepathy,anticipates an ally's attack and dodges it.
128,overcoat,protects the pokémon from things like sand hail and powder.
129,light metal,halves the pokémon's weight.
130,contrary,makes stat changes have an opposite effect.
131,pickpocket,steals an item from an attacker that made direct contact.
132,honey gather,the pokémon may gather honey after a battle.
133,magma armor,the pokémon is covered with hot magma which prevents the pokémon from becoming frozen.
134,moody,raises one stat sharply and lowers another every turn.
135,suction cups,this pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.
136,sand stream,the pokémon summons a sandstorm when it enters a battle.
137,poison heal,restores hp if the pokémon is poisoned instead of losing hp.
138,truant,the pokémon can't use a move if it had used a move on the previous turn.
139,wonder guard,its mysterious power only lets supereffective moves hit the pokémon.
140,normalize,all the pokémon's moves become normal type. the power of those moves is boosted a little.
141,stall,the pokémon moves after all other pokémon do.
142,heavy metal,doubles the pokémon's weight.
143,pure power,using its pure power the pokémon doubles its attack stat.
144,liquid ooze,the oozed liquid has a strong stench which damages attackers using any draining move.
145,sticky hold,items held by the pokémon are stuck fast and cannot be removed by other pokémon.
146,rough skin,this pokémon inflicts damage with its rough skin to the attacker on contact.
147,simple,the stat changes the pokémon receives are doubled.
148,solid rock,reduces the power of supereffective attacks taken.
149,white smoke,the pokémon is protected by its white smoke which prevents other pokémon from lowering its stats.
150,toxic boost,powers up physical attacks when the pokémon is poisoned.
151,storm drain,draws in all water-type moves. instead of being hit by water-type moves it boosts its sp. atk.
152,forecast,the pokémon transforms with the weather to change its type to water fire or ice.
153,color change,the pokémon's type becomes the type of the move used on it.
154,protean,changes the pokémon's type to the type of the move it's about to use.
155,cursed body,may disable a move used on the pokémon.
156,justified,being hit by a dark-type move boosts the attack stat of the pokémon for justice.
157,ice body,the pokémon gradually regains hp in a hailstorm.
158,clear body,prevents other pokémon's moves or abilities from lowering the pokémon's stats.
159,air lock,eliminates the effects of weather.
160,defiant,boosts the pokémon's attack stat sharply when its stats are lowered.
161,flower gift,boosts the attack and sp. def stats of itself and allies in harsh sunlight.
162,flare boost,powers up special attacks when the pokémon is burned.
163,heatproof,the heatproof body of the pokémon halves the damage from fire-type moves that hit it.
164,poison touch,may poison a target when the pokémon makes contact.
165,motor drive,boosts its speed stat if hit by an electric-type move instead of taking damage.
166,slow start,for five turns the pokémon's attack and speed stats are halved.
167,bad dreams,reduces the hp of sleeping opposing pokémon.
168,multitype,changes the pokémon's type to match the plate or z-crystal it holds.
169,victory star,boosts the accuracy of its allies and itself.
170,symbiosis,the pokémon passes its item to an ally that has used up an item.
171,zen mode,changes the pokémon's shape when hp is half or less.
172,mummy,contact with the pokémon changes the attacker's ability to mummy.
173,defeatist,halves the pokémon's attack and sp. atk stats when its hp becomes half or less.
174,illusion,comes out disguised as the pokémon in the party's last spot.
175,iron barbs,inflicts damage on the attacker upon contact with iron barbs.
176,turboblaze,moves can be used on the target regardless of its abilities.
177,teravolt,moves can be used on the target regardless of its abilities.
178,bulletproof,protects the pokémon from some ball and bomb moves.
179,magician,the pokémon steals the held item of a pokémon it hits with a move.
180,cheek pouch,restores hp as well when the pokémon eats a berry.
181,gale wings,gives priority to flying-type moves when the pokémon's hp is full.
182,flower veil,ally grass-type pokémon are protected from status conditions and the lowering of their stats.
183,grass pelt,boosts the pokémon's defense stat on grassy terrain.
184,stance change,the pokémon changes its form to blade forme when it uses an attack move and changes to shield forme when it uses king's shield.
185,aroma veil,protects itself and its allies from attacks that limit their move choices.
186,sweet veil,prevents itself and ally pokémon from falling asleep.
187,strong jaw,the pokémon's strong jaw boosts the power of its biting moves.
188,refrigerate,normal-type moves become ice-type moves. the power of those moves is boosted a little.
189,pixilate,normal-type moves become fairy-type moves. the power of those moves is boosted a little.
190,gooey,contact with the pokémon lowers the attacker's speed stat.
191,fairy aura,powers up each pokémon's fairy-type moves.
192,dark aura,powers up each pokémon's dark-type moves.
193,aura break,the effects of aura abilities are reversed to lower the power of affected moves.
194,power construct,other cells gather to aid when its hp becomes half or less. then the pokémon changes its form to complete forme.
195,long reach,the pokémon uses its moves without making contact with the target.
196,liquid voice,all sound-based moves become water-type moves.
197,stakeout,doubles the damage dealt to the target's replacement if the target switches out.
198,battery,powers up ally pokémon's special moves.
199,dancer,when another pokémon uses a dance move it can use a dance move following it regardless of its speed.
200,schooling,when it has a lot of hp the pokémon forms a powerful school. it stops schooling when its hp is low.  doesn't work until level 20.
201,merciless,the pokémon's attacks become critical hits if the target is poisoned.
202,stamina,boosts the defense stat when hit by an attack.
203,water bubble,lowers the power of fire-type moves done to the pokémon and prevents the pokémon from getting a burn.
204,corrosion,the pokémon can poison the target even if it's a steel or poison type.
205,fluffy,halves the damage taken from moves that make direct contact but doubles that of fire-type moves.
206,queenly majesty,its majesty pressures the opposing pokémon making it unable to attack using priority moves.
207,triage,gives priority to a healing move.
208,receiver,the pokémon copies the ability of a defeated ally.
209,wimp out,the pokémon cowardly switches out when its hp becomes half or less.
210,emergency exit,the pokémon sensing danger switches out when its hp becomes half or less.
211,water compaction,boosts the pokémon's defense stat sharply when hit by a water-type move.
212,innards out,damages the attacker landing the finishing hit by the amount equal to its last hp.
213,rks system,changes the pokémon's type to match the memory disc it holds.
214,shields down,when its hp becomes half or less the pokémon's shell breaks and it becomes aggressive.
215,comatose,it's always drowsing and will never wake up. it can attack without waking up.
216,disguise,once per battle the shroud that covers the pokémon can protect it from an attack.
217,dazzling,surprises the opposing pokémon making it unable to attack using priority moves.
218,berserk,boosts the pokémon's sp. atk stat when it takes a hit that causes its hp to become half or less.
219,steelworker,powers up steel-type moves.
220,electric surge,turns the ground into electric terrain when the pokémon enters a battle.
221,psychic surge,turns the ground into psychic terrain when the pokémon enters a battle.
222,grassy surge,turns the ground into grassy terrain when the pokémon enters a battle.
223,misty surge,turns the ground into misty terrain when the pokémon enters a battle.
224,full metal body,prevents other pokémon's moves or abilities from lowering the pokémon's stats.
225,shadow shield,reduces the amount of damage the pokémon takes while its hp is full.
226,beast boost,the pokémon boosts its most proficient stat each time it knocks out a pokémon.
227,prism armor,reduces the power of supereffective attacks taken.
228,soul-heart,boosts its sp. atk stat every time a pokémon faints.
229,galvanize,normal-type moves become electric-type moves. the power of those moves is boosted a little.
230,pastel veil,protects the pokémon and its ally pokémon from being poisoned.
231,quick draw,enables the pokémon to move first occasionally.
232,power of alchemy,the pokémon copies the ability of a defeated ally.
233,neutralizing gas,if the pokémon with neutralizing gas is in the battle the effects of all pokémon's abilities will be nullified or will not be triggered.
234,screen cleaner,when the pokémon enters a battle the effects of light screen reflect and aurora veil are nullified for both opposing and ally pokémon.
235,parental bond,parent and child each attacks.
236,aerilate,normal-type moves become flying-type moves. the power of those moves is boosted a little.
237,curious medicine,when the pokémon is brought into battle any stat alterations of allies are removed.
238,perish body,when hit by a move that makes direct contact the pokémon and the attacker will faint after three turns unless they switch out of battle.
239,neuroforce,powers up moves that are super effective.
240,power spot,just being next to the pokémon powers up moves.
241,stalwart,ignores the effects of opposing pokémon's abilities and moves that draw in moves.
242,hunger switch,the pokémon changes its form alternating between its full belly mode and hangry mode after the end of each turn.
243,battle bond,defeating an opposing pokémon strengthens the pokémon's bond with its trainer and it becomes ash-greninja. water shuriken gets more powerful.
244,delta stream,the pokémon changes the weather to eliminate all of the flying type's weaknesses.
245,primordial sea,the pokémon changes the weather to nullify fire-type attacks.
246,desolate land,the pokémon changes the weather to nullify water-type attacks.
247,libero,changes the pokémon's type to the type of the move it's about to use.
248,intrepid sword,boosts the pokémon's attack stat when the pokémon enters a battle.
249,dauntless shield,boosts the pokémon's defense stat when the pokémon enters a battle.
250,wandering spirit,the pokémon exchanges abilities with a pokémon that hits it with a move that makes direct contact.
251,mirror armor,bounces back only the stat-lowering effects that the pokémon receives.
252,ice face,the pokémon's ice head can take a physical attack as a substitute but the attack also changes the pokémon's appearance. the ice will be restored when it hails.
253,ice scales,the pokémon is protected by ice scales which halve the damage taken from special moves.
254,cotton down,when the pokémon is hit by an attack it scatters cotton fluff around and lowers the speed stat of all pokémon except itself.
255,ball fetch,if the pokémon is not holding an item it will fetch the poke ball from the first failed throw of the battle.
256,steam engine,boosts the pokémon's speed stat drastically if hit by a fire- or water-type move.
257,ripen,ripens berries and doubles their effect.
258,sand spit,the pokémon creates a sandstorm when it's hit by an attack.
259,gulp missile,when the pokémon uses surf or dive it will come back with prey. when it takes damage it will spit out the prey to attack.
260,propeller tail,ignores the effects of opposing pokémon's abilities and moves that draw in moves.
261,mimicry,changes the pokémon's type depending on the terrain.
262,gorilla tactics,boosts the pokémon's attack stat but only allows the use of the first selected move.
263,transistor,powers up electric-type moves.
264,dragon's maw,powers up dragon-type moves.
265,chilling neigh,when the pokémon knocks out a target it utters a chilling neigh which boosts its attack stat.
266,grim neigh,when the pokémon knocks out a target it utters a terrifying neigh which boosts its special attack stat.
267,as one,this ability combines the effects of both calyrex’s unnerve ability and glastrier’s/spectrier’s chilling neigh/grim neigh ability.
